[Thu Feb 16 11:10:07.226 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:10:07.545 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] Search
[Thu Feb 16 11:10:07.553 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] Search
[Thu Feb 16 11:10:07.556 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] Search
[Thu Feb 16 11:10:07.729 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] Search
[Thu Feb 16 11:10:07.733 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] Search
[Thu Feb 16 11:10:07.737 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] Search
[Thu Feb 16 11:10:08.180 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] Search
[Thu Feb 16 11:10:08.183 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] Search
[Thu Feb 16 11:10:08.187 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] Search
[Thu Feb 16 11:10:08.530 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] Search
[Thu Feb 16 11:10:08.534 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] Search
[Thu Feb 16 11:10:08.538 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] Search
[Thu Feb 16 11:10:08.965 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] Search
[Thu Feb 16 11:10:08.968 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] Search
[Thu Feb 16 11:10:08.973 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] Search
[Thu Feb 16 11:10:09.478 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] Search
[Thu Feb 16 11:10:09.481 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] Search
[Thu Feb 16 11:10:09.485 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] Search
